id,url,title,price,latitude,longitude,metro_name,metro_distance,distanceType,update_time
345026216,https://arenda.mirkvartir.ru/345026216/,"1-комн. квартира, 34 м2, 15/25 этаж",38000,60.04376391725518,30.359499643685155,Проспект Просвещения,,0.0,2026-03-25T16:11:56.1
349388119,https://arenda.mirkvartir.ru/349388119/,"1-комн. квартира, 28.4 м2, 1/5 этаж",32000,59.85794123988857,30.31080104653183,Московская,,0.0,2026-03-26T02:35:30.017
356129154,https://arenda.mirkvartir.ru/356129154/,"Студия, 15 м2, 1/5 этаж",35000,59.95867538,30.28236008,Петроградская,,0.0,2026-03-26T03:53:31.167
357609742,https://arenda.mirkvartir.ru/357609742/,"Студия, 24.4 м2, 21/24 этаж",28000,59.97830568888877,30.436696351105084,Академическая,,0.0,2026-03-25T17:05:03.84
355956672,https://arenda.mirkvartir.ru/355956672/,"2-комн. квартира, 58 м2, 4/10 этаж",34000,60.02854919,30.30223083,Удельная,,0.0,2026-03-26T04:12:31.463
358041560,https://arenda.mirkvartir.ru/358041560/,"1-комн. квартира, 50 м2, 3/3 этаж",65000,59.93343735,30.31087303,Сенная площадь,,0.0,2026-03-26T04:06:21.4
358698438,https://arenda.mirkvartir.ru/358698438/,"1-комн. квартира, 45 м2, 1/5 этаж",60000,59.96374893,30.29837799,Горьковская,,0.0,2026-04-09T01:37:38.85
352299108,https://arenda.mirkvartir.ru/352299108/,"1-комн. квартира, 41 м2, 4/9 этаж",65000,59.90574646,30.42235374,Елизаровская,,0.0,2026-03-23T01:33:07.94
353763611,https://arenda.mirkvartir.ru/353763611/,"2-комн. квартира, 75 м2, 4/5 этаж",60000,59.94379425,30.35503387,Гостиный двор,,0.0,2026-04-04T00:44:30.36
357666339,https://arenda.mirkvartir.ru/357666339/,"1-комн. квартира, 40.2 м2, 6/8 этаж",72000,59.960471,30.253588,Приморская,,0.0,2026-03-25T17:11:15.467
357490282,https://arenda.mirkvartir.ru/357490282/,"Студия, 24.2 м2, 13/24 этаж",25000,60.03945923,30.20331764,,,,2026-04-09T01:46:16.897
357173171,https://arenda.mirkvartir.ru/357173171/,"2-комн. квартира, 64.3 м2, 5/18 этаж",58000,60.00419235,30.19682312,Беговая,,0.0,2026-04-02T07:38:15.177
358494274,https://arenda.mirkvartir.ru/358494274/,"Студия, 26 м2, 16/19 этаж",26000,60.033976,30.237427,,,,2026-04-09T01:28:21.74
358182217,https://arenda.mirkvartir.ru/358182217/,"2-комн. квартира, 47 м2, 9/9 этаж",45000,60.02839987670743,30.366721318962814,Политехническая,,0.0,2026-03-22T03:00:33.593
348850253,https://arenda.mirkvartir.ru/348850253/,"1-комн. квартира, 33.5 м2, 3/10 этаж",30000,59.853973,30.357288,Московская,,0.0,2025-08-23T23:16:22
349211082,https://arenda.mirkvartir.ru/349211082/,"1-комн. квартира, 34 м2, 2/16 этаж",43000,60.020325,30.27097,Комендантский проспект,,0.0,2025-08-30T08:41:00
349280945,https://arenda.mirkvartir.ru/349280945/,"1-комн. квартира, 32 м2, 13/16 этаж",50000,59.9983,30.205383,Беговая,,0.0,2025-08-12T14:04:48
357824693,https://arenda.mirkvartir.ru/357824693/,"Студия, 27 м2, 9/25 этаж",33000,60.03674273218375,30.21381949999998,,,,2026-04-02T07:29:12.627
356520602,https://arenda.mirkvartir.ru/356520602/,"Студия, 30 м2, 25/25 этаж",28000,60.03870773,30.22131157,,,,2026-04-03T01:02:52.423
357924485,https://arenda.mirkvartir.ru/357924485/,"Студия, 24.7 м2, 20/25 этаж",23000,60.03711064508241,30.22139782803345,,,,2026-04-10T01:15:46.453
